"site_id","power_source_id","sort_order"
"dangjin","thermal","10"
"dangjin","lng","20"
"dangjin","hydrogen","30"
"dangjin","ammonia","35"
"dangjin","solar","40"
"dangjin","waste_resource","50"
"dangjin","storage","60"
"donghae","thermal","10"
"donghae","lng","20"
"donghae","hydrogen","30"
"donghae","biomass","40"
"donghae","solar","50"
"eumseong","lng","10"
"eumseong","hydrogen","20"
"eumseong","solar","30"
"gokseong","storage","10"
"ilsan","lng","10"
"ilsan","hydrogen","20"
"jeju","lng","10"
"jeju","hydrogen","20"
"jeju","solar","30"
"jeju","storage","40"
"jeju","waste_resource","50"
"jeju","small_hydro","60"
"shin-honam","lng","10"
"shin-honam","hydrogen","20"
"shin-honam","solar","30"
"shin-honam","thermal","40"
"ulsan","lng","10"
"ulsan","hydrogen","20"
"ulsan","solar","30"
"ulsan","wind","40"
"windbelt","wind","10"
"yongin","lng","10"
"yongin","hydrogen","20"
"daeho-floating-solar","solar","10"
"haechangman-floating-solar","solar","10"
"yanggu-floating-solar","solar","10"
"baekgok-floating-solar","solar","10"
"solar-portfolio","solar","10"
"seokmun-biomass","biomass","10"
"ess-portfolio","storage","10"
